,comment,sentiment,positive,negative
0,"간혹 갤에 남자관리 뭐해야되냐 물어보는 패붕이들 있어서 적어봄 어짜피 이래도 잘생기면 끝임. 이 마인드일거면 걍 그대로 살고, 뒤로가기 눌러라. 자기관리의 의의는 부분점수를 최대한 더챙겨서 총점을...",Negative,0.05018244683742523,0.9498175382614136
1,굴러오지 않음. 너나 나나 금수저는 아니니까 그리고 관리 했고 만날 기회가 생겼을때 그 대우와 확률이 급격히 상승한다. 남자가 무슨 관리냐 하는데 요즘은 남자들이 여자들보다 더 관리 하는 시대다 제발 좀해라,Negative,0.00398709811270237,0.9960129261016846
3,"남자인 내가봐도 자연인 상태로 돌아다니는 한남들 많은데 좀만 꾸며도 다른 한남들은 안꾸며서 관리하는 티 ㅈㄴ남 눈썹정리,수염제모,간단한 피부화장 같은거만 해도 ㅈㄴ 먹고 들어감. - dc official App",Negative,0.07276398688554764,0.9272359609603882
6,그러니까. 남자관리 표정썩드라. 또 몇시간 후에 그 남자관리가 나 타층보낼라그러니까 그 여자관리가 우리도 사람없다고 그냥 계속하라드만. 그 남자관리 미칠라글드라. 즉. 다 아는거제. 자적자 심하다는거.,Negative,0.02960735373198986,0.9703927040100098
9,마라 존잘이었던 남자들 나이먹고 40이후로 얼굴 라인 무너지고 턱선 박살나고 주름살 흘러내리고 피부톤...다녀라 동네 아무데나 가지말고 좋은 곳 찾아다녀라 자주 머리 자른다고 대충 관리하지말고 돈 투자...,Negative,0.002104985062032938,0.9978950619697571
10,20대 때는 왠만해선 살이 안찌니깐 레바도 잘생겼었는데 쟤 화장품도 아예 안바르고 비누로 씻어서 나이 30 넘기니깐 바로 티가나더라 남자도 관리안하면 훅가는듯,Negative,0.02455647476017475,0.9754435420036316
11,자기는 관리하는 남자 좋다고 하는 여자애들도 관리 안해도 잘생긴 남자 보면 홀림,Negative,0.0028969089034944773,0.9971030950546265
12,여자들 화장빨 성형빨 그러는데 일단 남자도 도수 높은 안경 쓰는애들은 안경만 벗어도 + 피부 안좋은 애들은 피부 관리하면 + 그리고 헤어스타일 관리하면+ 옷까지 잘입으면 + 이렇게 관리 잘하면 못남▶보통...,Negative,0.10473882406949997,0.8952612280845642
13,1. 피부관리 남자의 반은 피부이고 절반은 이목구비임 ㅇㅇ 피부 모공관리만 잘해도 준수한 느낌 받을 수 있음 여자같은 광채? 필요없음 푸석해보이지만 않으면 됨 모공이나 관리 잘해라 맨 올인원 발라주는거...,Negative,0.045738011598587036,0.9542619585990906
14,남자의 노화는 20대 중반부터 본격적으로 시작됨 20대 후반부턴 자기관리 안하면 타고난 동안이라도 아재됨 노화 직빵인게 피부인데 피부관리는 기본이자 마지막이 선크림임 관리안하고 운동안하고 술담배 하는...,Negative,0.012807324528694153,0.987192690372467
19,그래놓고 진짜 관리 철저하게 하면 남자가 너무 과하게 한다 이지랄 ㅋㅋㅋㅋ 미친년들이 지들이나 체중관리 쳐하지,Negative,0.01092115044593811,0.9890788793563843
21,키우는게 자기관리다 진짜 외모 남자 인생에 0.1% 의 영향도 없는거 고연봉 능력남들은 다 아는 사실임 존못뚱탈모남도 연봉 실수령 1억 찍으면 여자들 눈풀리면서 벌린다,Negative,0.028975021094083786,0.9710249900817871
24,꾸밈노동 코르셋 지랄지랄 염병 떨던년들이 남자도 피부관리하고 성형 하라고 하는건 뭔 역지사지 대가리 회전 안되는소리임? ㅋㅋㅋㅋ 이 미친년들은 진짜 모순덩어리구나,Negative,0.094648577272892,0.905351459980011
25,깔끔함만이 답이다 화장은 필요없지만 최소 머리는 만질 줄 알아라 훈남 가능하다 6. 인터넷댓글에 관리하는 남자가 어쩌고 하는 애들 손가락 떡볶이에 배 나온 돼지년들이 대부분일꺼다 남성미와 여성미는 완전...,Negative,0.02665742114186287,0.9733425974845886
26,용돈 받아서 집안관리 하고 남자는 일하고 그게 맞지 뭘믿고 여자한테 다주냐 진짜 절대 이해불가,Negative,0.0013627151492983103,0.998637318611145
28,같은 동일 남자 기준으로 20살 때랑 비교하면 20대 부터 조금씩 관리해온 30살이면 그래도 20살때보다 외모가 노화로 너프되나요? 30살 남자가 20살때랑 비교하면 체감크나요? 성형제외하고요. - dc official App,Negative,0.012451618909835815,0.9875484108924866
30,관리하는 남자들은 일반 여자 보다 돈 어마어마하게 많이 투자함 은근 남자들중에 코는 기본이고 광대랑 턱한 애들 많다 ㅋㅋ 특히 피부랑 얼굴형에 집중함 관리 안하는 남자는 그냥 그렇게 썩어 가는 거고,Negative,0.13157281279563904,0.8684272170066833
