,comment,sentiment,positive,negative
2,"요즘은 1020대 남자들이 대부분 관리를 열심히한다 한국에 방문한 타국가 사람들 또한 한국남자들의 관리와 패션은 수준이 높다고 말들을한다 하지만,아직까지도 기본적인것을 못하는 남자들이많다 그렇다면 여기...",Positive,0.874414324760437,0.12558569014072418
18,"남자들 지들 말로는 피부관리, 눈썹정리, 어쩌고 하는데 솔직히 양악, 코성형하면 그냥 존잘되는거 맞지않냐? 내가 본 남자애들 중에 코성형, 양악한애들이 피부관리한다 뭐한다 하는애들 보다 10배는 더 잘생김.",Positive,0.9978847503662109,0.0021152461413294077
23,ㅇㅇ 관리만해도 진짜 많이바뀌는듯 0.다이어트 운동 멸치는 벌크업 돼지는 살빼기 1.다운펌 ㅇㅇ한남들 직모충들많아서 남자는 머리가 반이여서 머리만 제대로 짜르고 스탈링하면됨 스탈링 유튜버 최토끼 좋더라...,Positive,0.9077423810958862,0.09225760400295258
27,조세호 진짜 관리 제대로 하더니 예전에 비해 훨씬 이미지 좋아짐 악뮤 이찬혁도 남자답게 변함 이 분들도 이런 이미지 가지기까지 몇년 걸림,Positive,0.9513188004493713,0.04868122935295105
29,하면 되는거라 주기적으로 받으먄됨 3. 수염 제모 남자는 얼굴에 수염자국있으면 ㅈㄴ 아저씨같고 나이들어...되고 아이브로우로 그려주면됨 5. 기초화장 얼굴형 관리하고 수염제모하고 피부에 여드름 큰것만...,Positive,0.9138841032981873,0.08611591905355453
34,되는거임. 요즘 ㅍㅌㅊ 이상 헤남들 너도나도 다 관리해 그루밍족이다 뭐다 유행 시작하면서ㅇㅇ 눈썹은...하는 경우 많이 봄 오히려 헤남들보다 게이들이 더 남자가 꾸미는거에 예민해하고 안좋게 보는거 같음...,Positive,0.8894446492195129,0.11055533587932587
41,관리만 하면 누구나 잘생겨짐,Positive,0.9957200884819031,0.004279900807887316
44,"부모님의 지원을 거절하는 경우가 많다 이때 남친이나 남편에게 배우자는 ""당신이 최고야"" 라고 해주면 남자는 모든걸 줘도 아깝지 않게 생각한다 물론 비겁을 깐 사람만 해당하는건 아니고 모든 남자들이 듣고...",Positive,0.8918246626853943,0.10817532241344452
91,주고... 누군가 나의 내면을 알아봐주길 기다리는 애들이 많아보여서 슬픔... 남자도 관리해야하는 시대인데 모태솔로인 남자들 보면 다 이유가 있어 얘들아. 차보다 내가 위에말한 저런게 돈은 적게들면서 여자...,Positive,0.995996356010437,0.004003622103482485
92,근데 관리 존나 잘함 패션도 오지게 잘챙겨입고 한국 남자들도 패션에 관심많고 헤어스타일 잘 신경쓰고 하는디 이탈리아는 그거 2배임 ㄹㅇ 남자들 죄다 패션 존나 차려입고 머리에도 공 많이들임,Positive,0.9141797423362732,0.08582024276256561
