,comment,sentiment,positive,negative
1,제 목 [감독판소취] 응감 눈화장설,Negative,0.02340882271528244,0.976591169834137
3,걸그룹이 혐오장사?,Negative,0.002182673430070281,0.99781733751297
5,성형외과는 대체 뭐 보고 감?,Negative,0.0038306505884975195,0.99616938829422
6,다리털 안밀어도 된다니까,Negative,0.01889283023774624,0.9811071157455444
7,피부과에 천만원쓴 수지 피부남친vs내츄럴한김제동피부,Negative,0.12686827778816223,0.8731317520141602
11,요즘 남자도 화장한다는데 - 밀리시타 마이너 갤러리,Negative,0.061022642999887466,0.9389773607254028
12,“아재소리 듣기 싫어”…피부 관리하는 꽃중년 - 재테크 마이너 갤러리,Negative,0.03782561048865318,0.9621744155883789
14,ㄹㅇ 근본없는새끼,Negative,0.0017143783625215292,0.9982856512069702
15,공봉이,Negative,0.010672129690647125,0.9893279075622559
18,잦미용사 두부류임 똥냐거나 지가 전문적 디자이너라고생각하거나,Negative,0.001611460349522531,0.9983885288238525
19,개 좆같은단어 발견했다,Negative,0.06040622293949127,0.9395937323570251
21,일지해수남 특징,Negative,0.03273534029722214,0.9672646522521973
22,"남자들이 빻은애가 많은게아니고, 안꾸미고 다녀서그럼 - 여자 아이돌 마이너 갤러리",Negative,0.013054214417934418,0.9869457483291626
25,본인 그루밍족에 사진사기로 후린건데 뭔 얼굴봅시다여ㅋㅋㅋㅋㅋㅋㅋ - dc official App,Negative,0.0038818607572466135,0.9961181282997131
28,"것”이라며 “(1020 남성들이) 운동과 화장을 비롯한 꾸밈노동에 과도한 압력을 받는 이유” '그루밍족’이란 그럴듯한 단어를 만들어놓고 ‘선호’하는 것은 참 쉬운 일입니다만, 그래서 대체 어떤 문제가 해결...",Negative,0.005687325727194548,0.9943127036094666
29,요즘에 그루밍족인지 욜로족인지 그거자너 ㄹㅇ류 ㅋㅋ - dc official App,Negative,0.06423336267471313,0.9357666373252869
30,강언 ㅂㅏ비톡 그루밍족 이벤트 다 봤는데 걍 싼데 가는거? 코 필러 맞을라고,Negative,0.0021788955200463533,0.9978210926055908
31,인싸들이 밀면 자기관리 하는 그루밍족인데 야붕이들이 밀면 게이새끼 밖에 안되자너 - dc official App,Negative,0.05850354954600334,0.9414964318275452
38,예전애 꾸미는 냄져 그루밍족이라 햇던 거 생각해보니 한남은 얻따 비비노ㅡㅡ,Negative,0.03069273941218853,0.9693072438240051
