,comment,sentiment,positive,negative
8,연애 한 번은 해봐야 함 ㄹㅇ,Positive,0.9813302159309387,0.018669772893190384
9,본인 내일 아이브로우 살 예정,Positive,0.9637881517410278,0.036211881786584854
24,요즘인싸들은 꼭 챙겨보는 유투브.jpg,Positive,0.976667582988739,0.023332420736551285
27,깔끔하게 정리된 구렛나루와 광나는 손톱 구랫나루는 진짜 볼때마다 치인다 의외로 그루밍족이었던 것,Positive,0.9406823515892029,0.059317611157894135
69,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=baseball_new7&amp;no=3809559"" target=""_blank"">요즘인싸들은 꼭 챙겨보는 유투브.jpg</a>",Positive,0.9738302826881409,0.02616974525153637
76,철구 상남자컨셉 너무 웃기다ㅋㅋ,Positive,0.9935828447341919,0.006417206954210997
80,⭐⭐⭐20/04/23 사•콜 영탁 클립⭐⭐⭐,Positive,0.8728958964347839,0.12710410356521606
88,아래 갤럼이 손. 크림 올려줘서,Positive,0.9886706471443176,0.011329338885843754
95,"차, 명품 이런거 모르는애들끼리 그루밍족 결성해서 서로 스킨로션 품평회도 하고 화장솜 리뷰도 하고 했는데 그때 체고 워너비 상품이 저거였는데 2차휴가때 사옴 ㅋㅋㅋ",Positive,0.9539799094200134,0.04602010175585747
102,"잘나오고 저녁에 모임자체가 없으니 웨이트,유산소하면서 몸도 점점 좋아짐 스펙 쌓는데 시간 존나씀 자기 관리 철저한 그루밍족ㅇㅈ? 아싸 선택 잘 한듯 후회없다 남은 2년도 개빡세게 살아야지 - dc official App",Positive,0.9718900918960571,0.028109943494200706
105,써니sunny 오프닝무대 http://naver.me/FSKzwsYd 국딩 영탁의 추억노래(ㅌㅊㅈㅇ) http://naver.me/57p3Vn9M 트롯계 그루밍족 영탁(ㅌㅊㅈㅇ) http://naver.me/GQKz1h6E (타출 모나리자 노래에 화음넣는 영탁...,Positive,0.9030454754829407,0.09695454686880112
116,갤주 되게 그루밍족이고 올리브영가서 틴트사는거보고 화잘알이라 생각했는데 그냥 이십대초반 애샛기인듯ㅠㅜㅜㅜ커여워ㅠㅠㅜㅜㅜ (광대꺼진메컵한 갤주로 마무리),Positive,0.968349814414978,0.031650155782699585
125,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=ib&amp;no=3935499"" target=""_blank"">철구 상남자컨셉 너무 웃기다ㅋㅋ</a>",Positive,0.9832407832145691,0.01675923727452755
137,"<a class=""tit_txt"" href=""https://gall.dcinside.com/mgallery/board/view/?id=bgsmsyl&amp;no=18641"" target=""_blank"">아래 갤럼이 손. 크림 올려줘서</a>",Positive,0.8932458758354187,0.10675410181283951
152,개인적으로 남자들이 부러울때,Positive,0.9639956951141357,0.03600432351231575
