star,comment
5,"기존에 아xx페 맨즈쿠션을 사용하다가다슈 맨즈 아쿠아 매트 쿠션도 좋다는 평이 많아서이번 기회에 갈아탔습니다!저는 얼굴이 까만편이여서, 기존에 사용하던 쿠션도 어두운용을 사용했었는데혹시나 다슈 제품도 너무 밝거나 많이 티가나면 어쩔까 걱정했었는데확실히 남성용으로 나와서 그런지 웬만한 평균 남성분들은 다 무난하게 사용할 수 있어 보였습니다!1. 자연스러운 커버력저는 모공이 조금 넓은 편인데, 쿠션에 조금 찍어서 얼굴에 펴바른 후 톡톡 두들겨주면자연스럽게 피부에 흡수되어 모공은 물론 잡티나 얼굴 보정까지 자연스럽게 되는 느낌입니다!기존에 사용했던 쿠션은 시간이 지나면서 뜨거나, 유분때문에 조금씩 흘러내리는 현상이 있었는데다슈 제품은 아직까지 발랐을 때 그런건 없었습니다!다만, 바르고나서 마스크나 흰 옷에는 제품이 묻어날 수 있으니 이거는 조심할 수 밖엔 없을 것 같네요..ㅎㅎ2. 어느정도 촉촉한 수분감제품에 이탈리아 탄산수가 함유되어서 그런지 몰라도, 확실히 촉촉한게 느껴져요!보통 저렴한 쿠션같은 경우에는, 확실히 수분감이 떨어져서 매트하게 느껴지고 그러다보면뜨게되는데, 다슈 제품은 확실히 촉촉하더라구요!촉촉한게 일정시간 계속 유지돼서, 땡기는거 없이 사용할 수 있어서 좋았어요!3. SPF50+썬크림은 무조건 365일 발라줘야한다고 하는데솔직히 귀찮기도 하고 매일 발라주는 남성분들이 몇 이나 될까 싶은데이제품은 무려 SPF50+의 자외선 보호 기능이 있어서썬크림을 바르지 않아도 피부 보호가 되고 타는거 걱정없어서 좋아보여요! 총 평점 : ★★★★☆무난하게 커버되고, 무엇보다 촉촉해서 좋아요!다만 너무 많이 바르면 티가 많이 날 수 있으니,조금씩 펴 바르면서 톡톡톡톡 두들겨서 흡수시키는게 좋습니다 여러분!!당분간은 다슈 제품으로 정착할 것 같아요ㅎㅎ계속 써보면서 또 구매하고 후기 남기도록 하겠습니다~ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다."
5,"남자친구는 왕모공이지만 수분 부족형 지성 피부, 수부지입니다.여드름 자국도 있고, 무엇보다 아직도 여드름이 나고 있어요.워낙 얼굴에 붉은 자국이 많아서 커버를 위해 쿠션을 주문했어요.남자친구는 이번에 처음으로 남성용 쿠션을 발라보는 겁니다.결론부터 말하자면 제가 줬다가 뺏었어요.... 제품이 정말 자연스럽게 잘 발려서요...+_+;;사진은 바르기 전 측면 얼굴, 그리고 나머지 사진은 바른 후 얼굴입니다.남친은 원래 톤 자체가 밝은 편이긴 하나, 모공이 정말 큰데끼임없이 잘 발려져서 왕지성 피부인 저도 이걸 쓰려고 합니다.왕모공들은 알거든요...모공이 커서 그 구멍으로 제형이 들어가면들떠 보이는건 물론이고.... 안바르니만 못하는데...이 제품은 커버도 훌륭하고! 무엇보다 정말 발림성이 좋아요(여성도 써도 되는거죠?) 강추하고 갑니다!!-----------------------------------------------------(추가 후기)제가 몇 번 쓰고나서 너무 좋아서 다시 리뷰남깁니다.진짜.....가지고 있던 쿠션 치우고, 이것만 씁니다.남성용이 아니라 그냥 공용으로 이름 바꾸셔도 될 것 같아요.그리고 제발 단종시키지 말아주세요.전 왕모공이라서 쿠션이나 파데를 발랐다하면 모공에 끼거든요.이건 끼임이 훨씬~ 훠어어어어얼씬 적어요.예전에 다슈 샴푸도 굉장히 잘썼었는데...여기 퀄리티가 참 좋네요!그나저나 전 남성용이 왜 이렇게 잘맞쥬...? 힝...-_ㅠ 안드로겐이 많은건가.....-_ㅠㅠㅠㅠ쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다. 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다."
5,"남자들이라면 한번쯤 보거나 들어봤을 ‘다슈’브랜드! 보통 해어제품을 사용해봤는데 비비쿠션도 있다니!!!타이밍 좋게 기존에 쓰던 비비크림 제품이 다 쓰게되어 알아보던 중에 발견했습니다~우선 배송은 로켓배송으로 바로 다음날 받았습니다! 포장은 본품만 쿠팡택배봉투에 담겨있던점은 아쉬웠어요...ㅜㅜ 상품 패키지는 생각보다 고급진 느낌이 들어서 오! 좋은데! 하는 생각을 했답니다. 상품의 상자를 열면 비비쿠션이 나오는데 색감이 남자들이 쓰기에 딱 좋은 색감과 사각형으로 각진 디자인이 깔끔함을 더했습니다. 크기도 주머니에 넣고 휴대하는게 아니기에 딱 괜찮은 크기입니다.누르면 열리는 잠금장치도 부드럽고 편하게 열리는 구조였습니다.열면 거울이 상당히 커서 보다 많은 부분을 한번에 보면서 사용을 할 수 있던점이 매우 만족스러웠어요! 쿠션은 촉감도 좋고, 조금씩 펴바르기 좋았어요! 개인적으로 한번에 많은 양을 찍어서 바르기보다는 아주 소량씩을 얇게 펴바르는게 자연스럽게 발립니다~ 제가 피부가 검은편인대 얇게 펴바르니 피부톤이 자연스럽게 밝아지는 정도 였으며 피부도 좀더 좋아보였답니다~ 오랜만에 만난 친구들도 딱히 제가 뭔가를 발랐다는걸 몰랐다고 해요~ 제가 잘바른건지 상품이 자연스럽고 좋은건지 ㅎㅎㅎㅎ 쿠팡 체험단을 통해 좋은 제품을 만나게 되어 감사합니다 ㅎㅎ비비크림, 비비쿠션 찾으시는 남성분들!! 추천합니다!! 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다."
5,처음 접해보고 아들주려고 구입했어요아들이 굉장히 민감한 편인데 아침에 살짝 발라보고 만족하는거 같아 흐뭇흐뭇 ㅎ일단 피부에 잘맞는거 같아요뜨지도 않고 색상도 무난하고 자연스럽게 보이네요포장도 깔끔하게 왔고 케이스도 심플하고 휴대하고 다녀도 좋을거 같아요내용물도 고급지고  넘 맘에 듭니다겨울이라 좀 화사하게 보였슴했는데 딱인거같아요이것저것 많이 가려서 쓰는편인데 아들이  맘에 드는지 아침에 뽀송하게 바르고 나가네요 ㅎ상품평도 좋고 전체적으로 좋은거 같아요직업상 하루종일 마스크를 끼고 일하는데  벗고보니 거의 묻어나지않는점도 장점중의 하나이네요그리고 색상이 넘 밝지도 어둡지도 않아 자연스러움이 좋은거 같아요바른듯 안바른듯 파운데이션보다 좋은거같고 찐한쿠션보다 좋은거 같아요너무 티나지도 않고갖고 다니면서 수시로 발라본다네요 ㅎ요거 다쓰고 재구매는 생각중입니다가성비도 나름 갠찮은거 같아요여성쿠션도 이 판매처에 찾아볼려구요쿠팡 체험단 이벤트로 상품을 무료로 제공받아 작성한 구매후기입니다 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,남푠이 차량으로 이동하면서 업무보는 일이라 그런지 얼굴이 많이 타서 선쿠션 사줬는데 이게 거의 커버력이 없는거라 별로 였는지 비비로 사달라 하는 요구에 이번 쿠팡체험단으로 선정되서 고르던중 아쿠아 매트 쿠션이 있어 이벤트 상품신청하게 되었습니다. 오~~~근데 이물건 아주 굿입니다.. 일단 쿠션 하늘색 부분이 약간 쿨링감이 있고 완커버력이 아닌 피부톤정리 정도라 자연스러운 커버력 이부분에서 넘좋았습니다. 지성피부인데 매트 쿠션이서 번들거리지 않았고  (이부분에서 건성이시분들은 꼭 충분한 보습후 쿠션 바르시는걸 추천드림) 마스크 꼈을때도 쿠션이 많이 묻어나지 않아 괜찮았습니다. 출근할때 칙칙한 피부톤 톡톡 정리하고 갖고 나갑니다.. 가지고 가는거 번거로울거 같아 회사용으로   하나 구매해야할듯 하네요..마지막으로 쿠션은 괜찮은데 케이스 부분이 금이가 있네요 ㅜㅜ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,저희집에 계신 남성분께서는 얼굴이 희다 못해 투명해서 빼박 쿨톤이신데 아무것도 모르고 주문하셨네요얼굴에 바르니 누런끼가 고대로 올라와서 누렁이인줄 알았어요남성용이라 평균 남성분들 피부톤에 맞춰서 나온 컬러 같아요여성들이 쓰는 쿠션처럼 호수가 따로 없네요아마 쿨톤이신 분들에게는 안맞을거에요 그리고 질감이 꽤나 매트해서 발라놓으면 부자연스럽네요
5,평소에 피부가 칙칙하고 어두운편이며 트러블이 많지는 않지만 잡티가 많고 모공이 커서 피부가 깨끗해 보이지 않는 스타일이라서 피부를 매일 관리하기 위해 좋은 화장품을 쓰거나 피부과를 가는것도 비용적으로 많이 들기 때문에 최대한 현재 상황을 보완하기 위한 제품을 찾다보니 이 제품을 찾게됨 비비로션이나 크림 이런건 사용해보았지만 거의 남여공용 제품들이 많아서 사용하다보면 남자 피부에는 맞지 않게 하얗게 뜨는 느낌이 들고 뭉치거나 부드럽게 발리지 않는다고 해야하나? 무튼 그런 현상들이 자주 있어 그런 제품들은 자연스럽게 손이 가지 않게되고 결국 방치하게됨그러다보니 최대한 자연스러운 커버를 할 수 있는 제품을 찾다보니 다슈 제품이 남성 전용으로 나온 라인이라고 해서 그 중에서도 쿠션을 구매해봄일단 장점은 역시 맨즈라인 상품답게 남성피부에 가장 알맞게 밀착되고 커버된다는 점 색자체가 너무 밝지 않아 어두운 피부도 충분히 사용가능한 정도의 톤업기능을 가지고 있음또한 쿠션제품이기 때문에 피부에 뭉치거나 특정부위만 발린다던가 하는 현상이 없이 골고루 잘 발려져서 좋음가장 맘에 들었던 점은 내가 이제품을 사용하기 전과 후의 차이는 확실하나 티가 안난다는 거임 너무 자연스러운 커버력이기 때문에 주변사람들도 자세히 보거나 대놓고 보지 않는이상에는 절대 모른다는 점 그게 가장 만족스러움자연스럽게 피부를 커버 하고 싶다면 이 제품 써보기를 추천드림 사용법 같은것도 없음 그냥 묻혀서 두드리면 끝임
5,"내나이30대중반신세계를보았습니다비비크림이나 발라봤지, 얼굴에 스폰지 찍어발라본건 난생 처음이네요.마스크때문에 여드름이 생겼다 없어졌다 생겼다 없어졌다 하면서피부가 깨끗할 날이 없기에, 이것저것 흉터없앤다는거 찾다가에라이 모르겠다 그냥 가려버리자 싶어서 검색해봤는데생각보다 많은 남성분들이 쓰고계시다해서 용기내어 구매해봤습니다.(이걸뭐용기까지 내냐 싶긴 합니다만..)방금전에 출근하고 처음 발라보고 컴퓨터앞에 앉아서 바로 리뷰 작성하는거예요.피부가 한결 정리된거같은 기분이 들어요. 울긋불긋 하지않고 일정한 톤으로딱 잡아주는게 뭔가 건강해보이는 느낌?물론, 처음 목적은 여드름흉터를 가리고 싶었지만, 생각보다 여드름흉터는 진하고 커서,솔직히 가려지지 않아요. 근데! 그 외적으로 너무 마음에 들어서 강추드립니다.인생풍파를 겪어가며 생겼던 많은 잡티와 울긋불긋한 것들이, 요거 하나로 일정한 톤으로 중화되면서뭔가 나도 피부가 좋아보인다는 느낌이 들어요. 다만 여드름이 완전히 가려지진 않아요.요 쿠션 하고나서 위에다가 다슈 결점 커버하는 스틱? 사용해봤는데. 그래도 큰건 보여요 ㅋㅋ저는 여드름이 듬성듬성 크게있는 편이라 그런것같고, 뭐 조금씩 있는분들은만족도가 저보다 훨씬 높을것같은데요?그리고 바르고나서 손에 안묻어서 너무좋아요!!!!다슈 톤업크림 한번씩 신경써야할ㅋㅋㅋ자리 갈때나 발라보고 그랬는데손에 막 묻어서 그게 싫었거든요 끈적끈적하니. 근데 요건 그럴필요없어서 너무 좋아요 ㅋㅋ여자들이 왜 카페앉아서 얼굴 톡톡 치고있는지 진짜 이제야 깨닫게 되네요.아!! 그리고 젤 중요한거!! 바르고 마스크 낀상태로 카페 다녀와봤는데~ 묻어나오긴 하는데 그리 심하진 않아요!하루종일끼면 마찰되면서 좀 묻긴할거같아영ㅋ비비크림 기능에, 자외선 차단기능까지 있다고하니. 정말 만족스럽습니다.그리고 바를때 이상하게 기분이좋아요 ㅋㅋㅋ클러치에 항상 넣고 다니고 꼭 재구매 할겁니다."
5,색톤이 밝아요.현장일한 서방님요새 쿠션에 빠져서 부쩍 구매하고있는 요즘.첨보는 녀석에 혹해서 바로 찜했더랬죠~~~근디~~~~ 얼굴에 밖에서 타서인지 밝아서 겉돌아요~~ㅎㅎ서방 말로는 강시인가?~~~~ㅎ말만 남기고 바로 씻어서 기존에 가지고 있는걸루다시 찍어바르네요~얼굴톤 밝으신분 쓰시면 잘 맞을듯해요~톤만 밝아서 겉돌뿐 쿠션바르는 느낌이나 흡수되는 거발림 은 부드럽게 잘나간다는것이 장점이래요~울서방 피부톤이 어둡고 타서 그렇지상품은 나쁘디않다고 하네요~요녀석은 제가 써봐야것어요~ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
5,"피부에 약간의 자국들이 신경쓰여서 가리고 다닐까 하고 사봤어요! 사실 많은 남성분들이 자기 피부톤에 맞는 화장품을 찾아다니진 않잖아요.. 귀찮기도 하고저또한 그래서! 평균적인 남성 피부에 맞다길래 가격도 저렴하니 한번 써볼까? 하는 마음으로 샀습니다!일단 크기는 뭐 크지도 작지도 않고 적당한거 같아요! 각진 네모난 모양이 예뻐요. 쿠션의 촉감도 부드럽고, 무엇보다 커버력!바르면 피부톤이 살짝 자연스레 밝아지고 잡티들이 정말 커버돼요!! 막 완벽하게 가려지는건 아니고, 작은 잡티는 정말 안 보이고 큰 잡티도 되게 연해지는게 훨씬 눈에 덜 띄어요!다만 너무 많이 바르면 뭘 발랐다는게 많이 티나니까.. 적당히 잘 발라야겠어요. 화장품 사용이 익숙하지 않은 남성분들은 여러번 발라보면서.. 자연스레 실력을 키워야죠!사용후 클렌징 꼼꼼하게 잘해요!아참! 처음에 거울이 너무 안개낀듯 뿌옇게 보여서 클리너로 박박 닦는데도 안 깨끗하길래 아니 이걸 거울이라고 붙여둔건가ㅡㅡ 했는데.. 알고보니 필름이 붙어있었어요. 정말 어디하나 필름을 뗄 수 있는곳이 없어서 손톱으로 긁어서 살짝 흠집내고.. 쪽집게로 집어서 뜯어냈습니다.. 여러분 거울 필름 제거후 사용하세요.."
