,comment,sentiment,positive,negative
0,신떤여자 화장한 남자를 남자로 느끼지못하는이유가 주변 남자들 열이면아홉은 게이라서 그런거같음ㅋ ㅋ ㅋ,Negative,0.08234583586454391,0.9176542162895203
1,노CC에서 여심은 굉장히 예쁜애들이 많은데  남심은...........이래서 남자들이 화장하나,Negative,0.0018232918810099363,0.9981766939163208
8,아니씨발 뭐야? 여자화장ㄹ에 남자들어온거같은데;;;,Negative,0.001575444359332323,0.9984245300292969
9,대부분의 남자아이돌이 그렇겠지만 어차피 화장 지워도 잘생긴거 생얼이 더 좋음,Negative,0.04924483224749565,0.9507551789283752
11,의외로여자들..화장한남자봐도 별생각없음 편견있는건남자들이지 진한색조화장얘기.하는거임,Negative,0.004257387947291136,0.9957425594329834
16,퇴근하자마자렌즈도못빼고화장도못지우고총공달리게한남자에스에프나인이처음입니다책임지세요,Negative,0.0019761957228183746,0.9980237483978271
17,애두라 요즘 사이비 왤케 무섭냐 ㅆㅂ 화장 다 녹고 개 폐인 상태로 지하철타고 집가는데 어떤 남자가 취향이라고 번호달라는거 거절했는데 계속 따라와서 지금 카페에 10분동안 죽치고 앉아있음 존나 무서워 씨바랄... 5분만 더 기다렸다가 안가면 아빠불러야지 띠발,Negative,0.0024507225025445223,0.997549295425415
21,"“아니 산올라가는데 화장을 왜 하냐고-뭐 잘보일 남자라도 있냐?”
‘뭔소리야~야 남자라고는 딸랑 넷인데 한명은 유부남이고 둘은 여자친구 있고 그리고 한명은 넌데 뭐?’
“어..”
[♬]
-131117",Negative,0.09525863826274872,0.9047414064407349
24,클로에  미쳤다.. 안 그러던 애가 갑자기 저런 화장을... 애기가 남자로 보여요,Negative,0.11751684546470642,0.8824831247329712
25,"일월신교 좌사는 얼굴을 망쳐 신분을 감추려 이정도 까지 해버리니까

그러네 이런 고자극으로 무협을 시작했으니 😂

이 홍콩 영화도 김용 무협인가요 😂
캐붕 왜곡 대잔치

임영영 ㅠㅠ
진짜 뭘 관계를 꼬아도 이렇게 꼬았어
숙부랑 조카가 한 남자를 orz

화장씬 최고라고 #어흐흨 
시시 안타깝다",Negative,0.0013532481389120221,0.9986467957496643
26,"진짜 최소한의 자기관리, 예를들몃 옷을 못개거나 개인물품 못챙기는 20대초남자들 너무많다고 탄식하는데 100이면 100 스토리가 다양해서 웃겨",Negative,0.10617449134588242,0.8938254714012146
27,김녕빊 어떨 때는 노잼이라 놀리고 싶은데 어떨 땐 오? 웃기네? 한 건 하네? 싶고 화장 해서 그런 거지 민낯은 별로라면서 민낯으로 브이앱 자주 오고 노출에 엄격한가 싶다가도 은근 매무새 허벌임 뭐하는 사람이지? 이 남자를 더 알고 싶다... 일 년으론 부족했다...,Negative,0.1331840455532074,0.866815984249115
30,때는 페르피냥에서 어떤 남자를 만났을 때였는 데 그 때는 불어를 못 알아들어도 탕웨이처럼 그냥 웃음만 짓는 상태였음 그 친구가 아빠가 어쩌구 했는데 아빠랑 같이 사나부다 하고 술이나 먹고 걔네 집에 갔는데 문 옆에 긴 갈색 롱웨이브 가발에 화려한 원피스를 입고 화장을 진하게 한 중년남자가,Negative,0.0166466124355793,0.9833533763885498
31,"우리 할머니 존나 편견없음 드라마 내용 뭐 물어보길래 설명해줫는대
잘못알아들어서
엉? 남잔데 남자친구가 있어? 그래~
이러고 화장실감
나만 아무생각없이 잇다가 위화감ㅈㄴ듬",Negative,0.03055463917553425,0.9694453477859497
32,옛날사진봤더니 여자애들은 화장이랑 머리 톤그로 지려도 애기같고 풋풋하고 귀여운데 남자애들은 걍 색다르게 못생김..,Negative,0.011613955721259117,0.9883860349655151
34,"진:그러고보면, 여자애가 화장실에 갈 때 ""잠시 화장 좀 고치고 올게요"" 라고 하잖아? 그거의 남자판을 생각해보자고 해서, 남자다움을 자아내면서, 오래걸려도 괜찮을 것 같은걸 생각했더니 ""잠시 곰 사냥하고 올게""가 되었어. 난 의지로라도 계속 쓸거야.",Negative,0.04610852897167206,0.9538914561271667
36,"댕웃긴영상..딱봐도 그뉵빵빵인 남자 셋이 서로 피부 관리 해줌..더 웃긴 건 이 남자..손수 팩 붙여주고 있음 얼마나 피부 관리에 진심인지 알 수 있는,, 
이러니 피부가 🥚같지..
외모관리에 진심인 남자 캡조아.
https://t.co/jNwqb2hU76",Negative,0.08618021011352539,0.9138197898864746
