,comment,sentiment,positive,negative
2,@MMoong_CM 열바더 ㅇ아오 아...아니근데 무색무취 이거너무그...하.....ㅅㅂ고결하고무결한인간상을원했다 이남자야..........  코박고체향맡아보고시퍼 비누냄새날까싶긴해 퍼펙트자기관리의남자,Positive,0.9265457391738892,0.07345426082611084
5,@:에타에서 화장하는 남자 어떻다저떻다 싸움 낫는데 일침 개웃김ㅠㅠ https://t.co/mbmsZNnFmG,Positive,0.943398654460907,0.05660133436322212
6,"머리가 길면 관리하는데 손이 갈 수밖에 없는데, 다른 전사분들은 남자신데도 그런 자기관리에 소홀하지 않으신가 봐요. 흐트러진 때를 별로 못 봤거든요. 특히 브레이즈님의 머리카락은 항상 윤기나는 예쁜 은발이셔서 감탄이 나와요. 조금 부럽기도 하구요.",Positive,0.989975094795227,0.010024912655353546
14,"그리고 유즈루가 화장도 할 줄 안다는것도,,
이 완벽한 남자 어쩔거야ㅠ https://t.co/IUzE7hRJI9",Positive,0.981936514377594,0.018063461408019066
15,"놀이공원에 교복 입고 놀러간 바이브야 좋다..

교복입고 화장 연하게한거 너무 좋아
한쪽 입꼬리만 올리고 찍어서 장난스런 느낌나서 좋고 
머리 약간 반깐이라 남자같아서 좋아 https://t.co/miaqRbNFgK",Positive,0.9909764528274536,0.009023582562804222
18,"내 취향의 남자 오탁후를 찾았다
이분만 파야지....화장 심하게 안하는 사람이 체고임",Positive,0.9836011528968811,0.016398850828409195
22,홋 화장한 눈 진짜진짜 좋음....메이크업 안 하면 너무 걍 남자애같은디 또 https://t.co/Q5LaQS0Lhl,Positive,0.993916392326355,0.006083627697080374
29,아 진짜 이런얼굴을 어떻게 찬양안하냐고요 미쳤어 진짜.. 어떻게 이렇게 말갛고 청순할수가있지ㅠㅠ 남자얼굴이? 아 너무 잘생겼다 미쳤어ㅠㅠㅠㅠㅠㅠㅠㅠㅠ화장기 하나없는 저 얼굴이 사람진짜 돌게함 맨날 하는말인데 남주혁은 독보적입니다 아무나 부비지마세요시발 ㅠㅠ남주혁은 원앤온리!!! https://t.co/vs1smBTmyu,Positive,0.9863502383232117,0.01364975143224001
33,@qqqqqqqqqzzzzz 바코드가 남자얼굴에할수있는화장중 가장아름답고 합법으로 허용된거아니었어? 님잘하고있는거야,Positive,0.9778355360031128,0.022164426743984222
35,"서예지, 파격 탱고복+스모키 화장…남자 홀리는 손끝 유혹 ('이브') (출처 : 텐아시아 | 네이버 TV연예) https://t.co/GcAXgzBVmB",Positive,0.9509422779083252,0.049057770520448685
37,미친놈인데 그래서 더 좋음... 그냥... 화장을 하든 말든 장신구를 끼든말든 알파미는 숨겨지질 않는... 이 남자... 지우 남편이에요(날조,Positive,0.9946684241294861,0.005331565625965595
39,@white_camelia_7 살아남은 로맨스 재밋서요 네웹 일요인가 토요웹툰이구 화장지워주는 남자 작가님 차기작이얌,Positive,0.9980741143226624,0.0019258802058175206
