,comment,sentiment,positive,negative
0,구구절절 옳은 말이네요 남자다움 여자다움을 규정짓는 거 자체가 우스운 일인거같아요 당당하게 자신을 꾸미는 모습이 진짜 멋있습니다 ,Positive,0.9982568621635437,0.0017431670567020774
1,진짜 남자뷰티 유튜버들 보면 너무 멋있는데 사회 신경 않쓰면서 자기자신을 꾸미는데 노력하는 모습이 너무 멋지고 보기좋은데......몇몇 꽉막힌 사람들이 문제......,Positive,0.9981237053871155,0.0018763361731544137
4,저도 학습된 남성성 여성성에 대해 많은 고민과 생각 중인데 영상이 도움이 된 것 같아요. 감사해요!,Positive,0.9983461499214172,0.0016538372728973627
5,"여자는 화장 안하면 왜 안하냐는 소리 직, 간접적으로 꽤 듣습니다... 대학 강의 시간에 수업과 무관한 화장을 가져다가 '이러이러한 것은 여자가 화장 안하고 밖에 나가는 것과 같다.'라느니 빻은 비유를 하고요 ㅋㅋ여자는 화장이 필수라느니, 남자는 화장하면 게이같다느니 품평하는 놈들 보면 죄다 제대로 씻지도 않은거 같던데... 남 품평할 시간 있으면 이 남자분들처럼 스스로를 가꿨으면 좋겠네요 ^^",Positive,0.9857640266418457,0.014235968701541424
7,"구구절절 다 맞는 말인 것 같아요. :) 남자든 여자든 화장은 자기만족을 위해 하는 거고, 누구도 그들에게 꾸며라, 꾸미지 마라, 강요할 수 없죠. 당당한 모습을 보니 용기가 나네요 응원합니다!",Positive,0.9957936406135559,0.00420635798946023
8,화장을 하든 안하든 존중하고 인정해주는게 맞는거같아요,Positive,0.9823988676071167,0.017601123079657555
10,영상 나오신 분들 눈썹 너무 잘 그리셨음... 다시 한 번 채널 정독하러 가야 겠다! 길 가다가 화장을 풀메든 아니든 하신 남자분들 보면 괜히 반가움ㅋㅋㅋㅋㅋ 파데 뭐 쓰는지 물어보고 싶고,Positive,0.9837741851806641,0.01622580550611019
12,남자분들도 피부관리 할 수도 있죠 남녀차별하는 사람들 너무 못된것 같네요,Positive,0.9886053204536438,0.011394660919904709
13,속상해하지마세요 너무 응원합니다 !!!!!,Positive,0.9981189966201782,0.001881006988696754
14,진짜 남자 연예인들도 다 화장하고 그러는데 일반인들이라고 못 할 게 뭐야 ㅠㅠ 남자든 여자든 누구나 꾸미는 거에 제한은 없다고 생각해요 오히려 자신을 잘 가꾸는 모습이 존경스러운 걸요!,Positive,0.9939941167831421,0.006005826406180859
16,"옳은 말 대잔치 너무 좋아요,,",Positive,0.985155463218689,0.014844490215182304
17,다 좋은데 중간에 화장안하는 여자한테 왜 화장 안하고 다니냐고 말하는 사람이 없다는데 있어요.. 화장이 예의하라고 말하는 사람이 일부 있습니다,Positive,0.9616919755935669,0.038308076560497284
18,당당하고 멋지네요! 하지만 놀랍게도 여자들은 화장안하면 정말로 많은 지적을 듣는답니다ㅎㅎ... 화장이 예의라고들 하거든요. 정말 그깟 화장이 뭔데 남성성 여성성을 나누는건지!,Positive,0.9931123852729797,0.006887645926326513
19,남자든 여자든 자기관리 잘하는 사람은 진짜 멋있는사람 ... 화장 뿐만 아니라 자기 자신만의 재능 키워나가거나 운동을 열심히 한다거나 이런게 다 진ㅁ자 멋있는건데 ㅠㅠㅠㅜ,Positive,0.8831931948661804,0.11680685728788376
20,"남녀 평등의 첫 출발점은....여자가 하는 것, 남자가가 하는 것을 나누지 말기....""내가 하는게 남자다운 거 아닌가?""이게 제일 마음에 와닿았음. 남자인 내가 하니까 남자다운거고, 여자인 내가 하니까 여자다운거...그리고 ""내""가 하니까 ""나""다운거..라고 생각해요.",Positive,0.9927335977554321,0.007266376167535782
22,진짜 멋져요 아니 진짜 진짜 멋지고 안꾸미고 그러고 다니는 사람들이 오히려 자기관리 안해보여요 멋져요진짜 ㅠㅠㅠㅠㅠㅠㅠ 전혀 기죽지 말아주세요!!!,Positive,0.9983271360397339,0.0016729064518585801
23,"영상 자체는 좋은데 47초 부분의 발언은 잘못 알고 계신 거예요. 여자들도 화장을 하지 않거나 꾸미지 않으면 ""왜 화장 안 하냐"" ""남자같이 하고 다닌다""는 말 정말정말저어어엉말 많이 듣고 삽니다. 외모를 가꾸고 화장을 하는 것 자체를 여성만의 속성으로 보니까 여자가 안 꾸며? 여자 맞아? 남자야? 또는 반대로 남자가 화장을? 여자야? 게이야? 이딴 말들이 나오는 건데... 뭐 남성 분이시니까 여자들이 듣고 사는 말에 대해 모를 수는 있겠네요. 아무튼 남성성 여성성 구분짓는 구시대적 사고방식은 좀 없어졌으면 좋겠어요.",Positive,0.9740217328071594,0.025978295132517815
